,work_id,version,task,character_acc,character_C_NED,character_G_NED,fps
0,rec_grapheme_10000_horizontal_C,1.0,train,0.0,0.0102381261681538,0.1551244476986583,2796.896063815821
0,rec_grapheme_10000_horizontal_C,1.0,eval,0.0,0.0087082974642547,0.1503954136045066,586.0519407825839
0,rec_grapheme_10000_horizontal_C,166.0,eval,0.836065556638001,0.9216066565634856,0.9562169321141252,593.8548267525093
0,rec_grapheme_10000_horizontal_C,1.0,test,0.0,0.0100995519007702,0.1567200276888615,477.46954473949
0,rec_grapheme_10000_horizontal_C,166.0,test,0.7868852297769421,0.9004732651152043,0.9499693717425394,269.8411340226415
0,rec_grapheme_10000_horizontal_C,6.0,train,0.0,0.0293675898560719,0.3364161913719156,1954.310470552111
0,rec_grapheme_10000_horizontal_C,171.0,train,0.9968749688476573,0.998437500048828,0.9994791666829428,2107.32405320482
0,rec_grapheme_10000_horizontal_C,6.0,eval,0.0,0.0374073187104274,0.3259714770786046,512.7780555701584
0,rec_grapheme_10000_horizontal_C,171.0,eval,0.8381147369238784,0.9231630577806164,0.9596341299797412,523.4582532363387
0,rec_grapheme_10000_horizontal_C,6.0,test,0.0,0.0271866254512235,0.3595560782639323,445.7725249727178
0,rec_grapheme_10000_horizontal_C,171.0,test,0.7991803114922068,0.9063305054323374,0.9501685976036665,389.7338136294922
0,rec_grapheme_10000_horizontal_C,11.0,train,0.0,0.0371094050903307,0.3526413892775761,2284.1684332313434
0,rec_grapheme_10000_horizontal_C,11.0,eval,0.0,0.038710011892164,0.3620359658876751,499.8804616682402
0,rec_grapheme_10000_horizontal_C,176.0,train,0.9999999687500012,1.0,1.0,2090.843142173884
0,rec_grapheme_10000_horizontal_C,11.0,test,0.0,0.0290154375396912,0.3549259066179855,482.3896823474505
0,rec_grapheme_10000_horizontal_C,176.0,eval,0.8442622777815108,0.9239095448847576,0.9578045047244936,474.0855412581639
0,rec_grapheme_10000_horizontal_C,176.0,test,0.813524573493349,0.9151761336663752,0.9561131178218644,419.5888367447548
0,rec_grapheme_10000_horizontal_C,16.0,train,0.0,0.0166778581097691,0.8402132986441281,2118.682582069637
0,rec_grapheme_10000_horizontal_C,16.0,eval,0.0,0.019838850426149,0.8051150942008466,548.4599317861538
0,rec_grapheme_10000_horizontal_C,181.0,train,0.9999999687500012,1.0,1.0,2231.408603600692
0,rec_grapheme_10000_horizontal_C,16.0,test,0.0020491802858774,0.0136685408986734,0.8289922146173707,486.62098128814574
0,rec_grapheme_10000_horizontal_C,181.0,eval,0.8217212946368587,0.9144491625649568,0.9563326728524942,528.2254585965611
0,rec_grapheme_10000_horizontal_C,181.0,test,0.8032786720639616,0.9108297572266866,0.9545369295464178,489.0747979506056
0,rec_grapheme_10000_horizontal_C,21.0,train,0.0,0.0819841556721218,0.5087744035783134,2203.318343554592
0,rec_grapheme_10000_horizontal_C,21.0,eval,0.0,0.0862550603584211,0.4860653132463415,503.2921609227842
0,rec_grapheme_10000_horizontal_C,186.0,train,0.9999999687500012,1.0,1.0,2355.375165214237
0,rec_grapheme_10000_horizontal_C,21.0,test,0.0020491802858774,0.0913097050635856,0.4987433965150383,512.5220317178532
0,rec_grapheme_10000_horizontal_C,186.0,eval,0.8299180157803686,0.9198648533204898,0.9562209979480258,440.26737429041685
