,work_id,version,task,first_acc,first_C_NED,first_G_NED,second_acc,second_C_NED,second_G_NED,third_acc,third_C_NED,third_G_NED,character_acc,character_C_NED,character_G_NED,composed_acc,composed_C_NED,composed_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_C+FML,276.0,test,0.9385245709318736,0.9698770497976016,0.9861262905089482,0.9323770300742412,0.9709764512843104,0.9856752540015804,0.9651639146482804,0.988854736111811,0.9932035520518396,0.8749999820696726,0.9415959223521524,0.9698746102972612,0.8729508017837951,0.9400151261316182,0.9693015987728768,0.9453551718847985,0.9765694123979076,0.988335032187456,572.6092022032252
0,rec_grapheme_10000_horizontal_C+FML,111.0,train,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9993750000195312,0.9997916666731772,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9937499689453136,0.9985937500439452,0.9995312500146484,0.9937499689453136,0.9987500000390624,0.9991666666927084,0.9979166354817718,0.999583333346354,0.9997222222309028,2163.026150271719
0,rec_grapheme_10000_horizontal_C+FML,111.0,eval,0.9364753906459962,0.9690459933483287,0.9833655892904744,0.9098360469295892,0.9551026225697812,0.977346257728506,0.9549180132188932,0.9780753972746716,0.9863360875382168,0.8422130974956333,0.9255513286138,0.9566983268479504,0.8586065397826529,0.9251130317193204,0.965079365794952,0.9337431502648262,0.9674080043975938,0.9823493115190658,416.5117356635115
0,rec_grapheme_10000_horizontal_C+FML,281.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,1952.1006715735589
0,rec_grapheme_10000_horizontal_C+FML,111.0,test,0.9282786695024864,0.965944575248989,0.9828747076108812,0.9016393257860794,0.9581430531606128,0.9795456028131104,0.9303278497883638,0.9777013405558208,0.9878903203106004,0.8299180157803686,0.928395786010625,0.9588450871474412,0.8217212946368587,0.9147028706003508,0.9586277005615584,0.9200819483589764,0.9672629896551408,0.9834368769115308,438.6937037477876
0,rec_grapheme_10000_horizontal_C+FML,281.0,eval,0.9508196526471384,0.9713570133374018,0.9834265767989828,0.9282786695024864,0.965154177138722,0.9812397002716732,0.963114734362403,0.9806596413018612,0.9868581406110472,0.8586065397826529,0.9365168826435846,0.9662679445718796,0.8811475229273049,0.9426213256618712,0.9689920532852484,0.947404352170676,0.9723902772593284,0.983841472560568,467.4443169733737
0,rec_grapheme_10000_horizontal_C+FML,281.0,test,0.9426229315036284,0.9713114759977156,0.98687765661377,0.9282786695024864,0.9680848302142387,0.9845595891792694,0.963114734362403,0.9878756833085583,0.9922244992485872,0.87704916235555,0.9436792556427944,0.970584233840704,0.8709016214979176,0.9405274212030876,0.9694823928536548,0.944672111789506,0.9757573298401708,0.9878872483472088,517.6399501206012
0,rec_grapheme_10000_horizontal_C+FML,116.0,train,0.9999999687500012,1.0,1.0,0.9968749688476573,0.9989583333658856,0.9996527777886284,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9937499689453136,0.9983333333854166,0.9987500000390624,0.9937499689453136,0.9983333333854166,0.9990277778081598,0.9979166354817718,0.9994444444618056,0.9996759259360531,2022.0343100226685
0,rec_grapheme_10000_horizontal_C+FML,116.0,eval,0.9262294892166087,0.9638376601217236,0.9805344136177244,0.9180327680730992,0.9601800359447884,0.9775514468126872,0.9487704723612608,0.9775663548703224,0.9855017784218236,0.836065556638001,0.923175255282318,0.9580845051524448,0.8483606383532657,0.9246617241563594,0.9633923157818168,0.9310109098836562,0.9671946836456116,0.9811958796174118,521.9870809471848
0,rec_grapheme_10000_horizontal_C+FML,286.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2292.410969872612
0,rec_grapheme_10000_horizontal_C+FML,116.0,test,0.9303278497883638,0.9685255666090584,0.9841654743465094,0.9118852272154668,0.9597108387126648,0.9801684885666748,0.9528688329330156,0.982761677428446,0.9899050765361198,0.8422130974956333,0.9305327883087544,0.9623937469758416,0.836065556638001,0.9207455129433492,0.9617708612222772,0.9316939699789488,0.9703326942500564,0.9847463464831012,520.8866104338668
0,rec_grapheme_10000_horizontal_C+FML,286.0,eval,0.9528688329330156,0.9723132974708112,0.9846560849705092,0.9262294892166087,0.9652029671455286,0.9814836503057064,0.963114734362403,0.9806596413018612,0.9872809873367046,0.8565573594967755,0.9354922925006458,0.96501566773051,0.8811475229273049,0.9447192959545552,0.9698637680735264,0.947404352170676,0.9727253019727335,0.9844735742043068,536.4821041057987
0,rec_grapheme_10000_horizontal_C+FML,286.0,test,0.940573751217751,0.970286885854777,0.9865361265661236,0.9323770300742412,0.9696217154286468,0.9846165108538772,0.9610655540765256,0.9874804842534248,0.9923529795998446,0.8688524412120402,0.9404347201901552,0.9693736995607132,0.8749999820696726,0.9417666873759754,0.9698588890728456,0.944672111789506,0.9757963618456164,0.987835205673282,511.1417535619818
0,rec_grapheme_10000_horizontal_C+FML,121.0,train,0.9999999687500012,1.0,1.0,0.9906249690429698,0.9960937501220704,0.9976562500732422,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9999999687500012,1.0,1.0,0.987499969140626,0.9939062501904296,0.9970312500927734,0.9958333022135428,0.9984895833805338,0.9990104166975912,2324.51531251457
