,work_id,version,task,first_acc,first_C_NED,first_G_NED,character_acc,character_C_NED,character_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_C+F,31.0,test,0.7930327706345744,0.9073046792349092,0.9579885514723918,0.3340163865980249,0.6462553741497239,0.8080489999434837,0.7930327706345744,0.9073046792349092,0.9579885514723918,504.2711459626908
0,rec_grapheme_10000_horizontal_C+F,201.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2406.5454554321823
0,rec_grapheme_10000_horizontal_C+F,201.0,eval,0.9323770300742412,0.9653233158289848,0.9816809787776796,0.8545081792108981,0.93227296521819,0.9629469714419098,0.9323770300742412,0.9653233158289848,0.9816809787776796,521.7634475589858
0,rec_grapheme_10000_horizontal_C+F,36.0,train,0.9062499716796883,0.9580208346451824,0.9804861117209202,0.6156249807617195,0.8281733684648204,0.9105096754156204,0.9062499716796883,0.9580208346451824,0.9804861117209202,1997.5154309265272
0,rec_grapheme_10000_horizontal_C+F,201.0,test,0.9385245709318736,0.9705999550651192,0.9855475868171032,0.8483606383532657,0.9311109498894126,0.9658499768469028,0.9385245709318736,0.9705999550651192,0.9855475868171032,482.96580771616107
0,rec_grapheme_10000_horizontal_C+F,36.0,eval,0.8176229340651039,0.9107037163757696,0.956020416808932,0.5163934320411182,0.76535665976533,0.8817915715089547,0.8176229340651039,0.9107037163757696,0.956020416808932,459.70129034740006
0,rec_grapheme_10000_horizontal_C+F,36.0,test,0.836065556638001,0.9296033386790884,0.9681612678915692,0.4754098263235691,0.7505643428683472,0.8698616016779595,0.836065556638001,0.9296033386790884,0.9681612678915692,463.5927558768613
0,rec_grapheme_10000_horizontal_C+F,206.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2199.640250630158
0,rec_grapheme_10000_horizontal_C+F,206.0,eval,0.9364753906459962,0.9651492981380412,0.9810971250295606,0.8504098186391431,0.926749123280902,0.9592690180954718,0.9364753906459962,0.9651492981380412,0.9810971250295606,450.9702199519323
0,rec_grapheme_10000_horizontal_C+F,41.0,train,0.924999971093751,0.9649479177620442,0.9847048615890842,0.7312499771484383,0.8809970275283667,0.9372941487849548,0.924999971093751,0.9649479177620442,0.9847048615890842,2220.7690258531543
0,rec_grapheme_10000_horizontal_C+F,206.0,test,0.9467212920753834,0.9720628421025374,0.9877504556244214,0.8504098186391431,0.9362143846013836,0.9671461646943984,0.9467212920753834,0.9720628421025374,0.9877504556244214,440.1290993758154
0,rec_grapheme_10000_horizontal_C+F,41.0,eval,0.836065556638001,0.9188199340080484,0.9619492158027148,0.6004098237620938,0.8104776580600792,0.8982441039153292,0.836065556638001,0.9188199340080484,0.9619492158027148,454.71407506921855
0,rec_grapheme_10000_horizontal_C+F,41.0,test,0.8483606383532657,0.9342652238294598,0.97097319861719,0.5614753983304221,0.7935719207015902,0.8905111588920753,0.8483606383532657,0.9342652238294598,0.97097319861719,530.295720214308
0,rec_grapheme_10000_horizontal_C+F,211.0,train,0.9968749688476573,0.998437500048828,0.998437500048828,0.9999999687500012,1.0,1.0,0.9968749688476573,0.998437500048828,0.998437500048828,2054.8241633530497
0,rec_grapheme_10000_horizontal_C+F,211.0,eval,0.9303278497883638,0.962916342159859,0.980301305807426,0.8545081792108981,0.9334805178866534,0.9630136511178788,0.9303278497883638,0.962916342159859,0.980301305807426,486.9753972178467
0,rec_grapheme_10000_horizontal_C+F,46.0,train,0.9531249702148448,0.9781770840152996,0.990572916961263,0.7874999753906259,0.9134003003252884,0.9510813507350572,0.9531249702148448,0.9781770840152996,0.990572916961263,2246.5862091083254
0,rec_grapheme_10000_horizontal_C+F,211.0,test,0.9282786695024864,0.967791277006619,0.9813082773367958,0.8504098186391431,0.9331780198444524,0.9637254431060686,0.9282786695024864,0.967791277006619,0.9813082773367958,542.6209928649347
0,rec_grapheme_10000_horizontal_C+F,46.0,eval,0.8565573594967755,0.9315980367906986,0.9611138224639484,0.6700819534819272,0.8412909868587912,0.913376324526398,0.8565573594967755,0.9315980367906986,0.9611138224639484,565.2990314867877
0,rec_grapheme_10000_horizontal_C+F,46.0,test,0.8586065397826529,0.940463994194239,0.9694062262319176,0.6209016266208683,0.8258855422096053,0.9093760860794432,0.8586065397826529,0.940463994194239,0.9694062262319176,552.342220868463
0,rec_grapheme_10000_horizontal_C+F,216.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2058.127206865864
0,rec_grapheme_10000_horizontal_C+F,216.0,eval,0.9364753906459962,0.965331447496786,0.9820740093880662,0.8606557200685304,0.9327145147797896,0.966431662150275,0.9364753906459962,0.965331447496786,0.9820740093880662,536.3428417102803
0,rec_grapheme_10000_horizontal_C+F,51.0,train,0.9468749704101572,0.976562500732422,0.9896180558799912,0.8531249733398446,0.942492561320917,0.964893354271686,0.9468749704101572,0.976562500732422,0.9896180558799912,2226.910157802368
0,rec_grapheme_10000_horizontal_C+F,216.0,test,0.9385245709318736,0.9703210388595416,0.987192623213266,0.8463114580673882,0.9290731539384568,0.9636338263155094,0.9385245709318736,0.9703210388595416,0.987192623213266,470.184303596425
0,rec_grapheme_10000_horizontal_C+F,51.0,eval,0.8790983426414275,0.9395979715734216,0.9698141648999395,0.7131147394853538,0.8600800184800153,0.9232817801305124,0.8790983426414275,0.9395979715734216,0.9698141648999395,538.2197509765593
0,rec_grapheme_10000_horizontal_C+F,51.0,test,0.8893442440708147,0.9515173702362756,0.9769288321147164,0.678278674625437,0.8495861011826944,0.9249433509178708,0.8893442440708147,0.9515173702362756,0.9769288321147164,490.0179227947082
0,rec_grapheme_10000_horizontal_C+F,221.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2062.182666322257
0,rec_grapheme_10000_horizontal_C+F,221.0,eval,0.9303278497883638,0.9646451347343732,0.9786142557942912,0.8524589989250205,0.9328023367920416,0.96698542872753,0.9303278497883638,0.9646451347343732,0.9786142557942912,486.5577006443928
0,rec_grapheme_10000_horizontal_C+F,56.0,train,0.9562499701171884,0.9789583339908854,0.9886805559092882,0.8624999730468759,0.9471540195085796,0.9677666180707852,0.9562499701171884,0.9789583339908854,0.9886805559092882,2194.2761480008894
0,rec_grapheme_10000_horizontal_C+F,221.0,test,0.9385245709318736,0.9717326963898126,0.9842251065770508,0.8545081792108981,0.9334675072181716,0.9648709240436504,0.9385245709318736,0.9717326963898126,0.9842251065770508,547.8378366022932
0,rec_grapheme_10000_horizontal_C+F,56.0,eval,0.8893442440708147,0.945316160371156,0.9728358926548288,0.7254098212006185,0.8684133516425835,0.93114130811587,0.8893442440708147,0.945316160371156,0.9728358926548288,435.0761743041516
