,work_id,version,task,first_acc,first_C_NED,first_G_NED,second_acc,second_C_NED,second_G_NED,third_acc,third_C_NED,third_G_NED,composed_acc,composed_C_NED,composed_G_NED,grapheme_acc,grapheme_C_NED,grapheme_G_NED,fps
0,rec_grapheme_10000_horizontal_G,146.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2239.971161259959
0,rec_grapheme_10000_horizontal_G,146.0,eval,0.9385245709318736,0.968255595238062,0.9827614063728526,0.913934407501344,0.9631326445233682,0.9808976281128404,0.944672111789506,0.9746584704646488,0.985480093974354,0.8483606383532657,0.9256871274660784,0.9615445298018132,0.9323770300742412,0.9686822367420264,0.9830463761533492,412.277468379116
0,rec_grapheme_10000_horizontal_G,146.0,test,0.9323770300742412,0.9696070784266048,0.9853228817301994,0.9282786695024864,0.9658697639052188,0.9841985431289004,0.9549180132188932,0.9835187357007285,0.9902962097573528,0.8729508017837951,0.9395247865632118,0.9684366603744332,0.9385245709318736,0.9729985260108508,0.9866058782054844,472.8653155318571
0,rec_grapheme_10000_horizontal_G,151.0,train,0.9968749688476573,0.9993750000195312,0.9993750000195312,0.9999999687500012,1.0,1.0,0.9968749688476573,0.998437500048828,0.998437500048828,0.9937499689453136,0.9971875000878906,0.9976041667415364,0.9979166354817718,0.9992708333561198,0.9992708333561198,2116.07953793702
0,rec_grapheme_10000_horizontal_G,151.0,eval,0.9364753906459962,0.9655331128582532,0.9806916258618792,0.9098360469295892,0.9602979451279045,0.9782342358523864,0.9549180132188932,0.9759798664823276,0.985962843986146,0.8606557200685304,0.9244576192945516,0.9608896594882312,0.9337431502648262,0.967270308156162,0.9816295685668038,424.5097869538388
0,rec_grapheme_10000_horizontal_G,151.0,test,0.9323770300742412,0.9708512236001732,0.985390645628542,0.9385245709318736,0.9717440807247342,0.9872874926709454,0.9528688329330156,0.98353012003565,0.9909906541875668,0.8729508017837951,0.936055817079262,0.967795613896113,0.9412568113130436,0.9753751414535192,0.9878895974956846,460.4334237264543
0,rec_grapheme_10000_horizontal_G,156.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2054.8831813890265
0,rec_grapheme_10000_horizontal_G,156.0,eval,0.9323770300742412,0.966011254924958,0.9820024507114166,0.913934407501344,0.9618120616724696,0.9805658560665552,0.959016373790648,0.9787568310364038,0.9865198632305217,0.8524589989250205,0.929880628551106,0.9624051313107632,0.9351092704554111,0.9688600492112772,0.9830293900028312,447.2772557551581
0,rec_grapheme_10000_horizontal_G,156.0,test,0.9364753906459962,0.971018735956876,0.9872983348946802,0.9262294892166087,0.9675408216383452,0.9852738206677994,0.9508196526471384,0.9843668686523832,0.9911443427090076,0.8647540806402852,0.9405371792044488,0.972088863439501,0.9378415108365812,0.9743088087492016,0.987905499423829,513.3575273578067
0,rec_grapheme_10000_horizontal_G,161.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,1763.362379862171
0,rec_grapheme_10000_horizontal_G,161.0,eval,0.9323770300742412,0.9659917389222352,0.9802427577992584,0.9241803089307314,0.9644987647139532,0.981100377696681,0.9569671935047708,0.978255920299856,0.9872061759929344,0.87704916235555,0.932908861640236,0.9645692391682296,0.9378415108365812,0.9695821413120148,0.9828497704962912,482.28823084684666
0,rec_grapheme_10000_horizontal_G,161.0,test,0.9426229315036284,0.9739298730296702,0.9872950822275598,0.9262294892166087,0.9676343358180578,0.9854394356353484,0.959016373790648,0.9867104153126608,0.9923874036602026,0.8811475229273049,0.9429644820430776,0.9726035980113106,0.9426229315036284,0.976091541386796,0.988373973841037,551.2165837667574
0,rec_grapheme_10000_horizontal_G,166.0,train,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,0.9999999687500012,1.0,1.0,2390.438653452481
0,rec_grapheme_10000_horizontal_G,166.0,eval,0.9262294892166087,0.9622690614028914,0.9827749591525212,0.9282786695024864,0.9664747599896208,0.9817449478977148,0.9569671935047708,0.978426685323679,0.9870408320809788,0.8647540806402852,0.9306165444871056,0.968078324879998,0.9371584507412886,0.9690568355720636,0.9838535797104048,541.2070106131596
0,rec_grapheme_10000_horizontal_G,1.0,train,0.0031249999023437,0.2040330017010626,0.4759385925406791,0.0,0.0654613387281423,0.237457861131029,0.0,0.1807082695647857,0.3113307135685199,0.0031249999023437,0.0215476496242547,0.2722284453619095,0.0010416666341145,0.1500675366646635,0.3415757224134094,2151.4554067973804
0,rec_grapheme_10000_horizontal_G,166.0,test,0.944672111789506,0.9731931439268904,0.9858373452464158,0.9364753906459962,0.9692509113769168,0.987276108336024,0.9569671935047708,0.9846116318531964,0.9904631800028688,0.8811475229273049,0.9446477372779056,0.9721945751209152,0.9460382319800908,0.9756852290523343,0.9878588778617696,556.7363333061224
